,title,year,worldwide $,domestic $,domestic %,foreign $,foreign %
0,"Hi, Mom",2021,822009764.0,0.0,0.0,822009764.0,100.0
1,F9: The Fast Saga,2021,714398815.0,172931815.0,24.2,541467000.0,75.8
2,Detective Chinatown 3,2021,686257563.0,0.0,0.0,686257563.0,100.0
3,Godzilla vs. Kong,2021,467863133.0,100563133.0,21.5,367300000.0,78.5
4,Black Widow,2021,377665240.0,183177333.0,48.5,194487907.0,51.5
5,A Quiet Place Part II,2021,297372261.0,160072261.0,53.8,137300000.0,46.2
6,Free Guy,2021,277748887.0,102882486.0,37.0,174866401.0,63.0
7,Shang-Chi and the Legend of the Ten Rings,2021,264556500.0,152612024.0,57.7,111944476.0,42.3
8,Cruella,2021,233274187.0,86102609.0,36.9,147171578.0,63.1
9,Jungle Cruise,2021,202265854.0,110294536.0,54.5,91971318.0,45.5
10,The Conjuring: The Devil Made Me Do It,2021,201965074.0,65565074.0,32.5,136400000.0,67.5
11,Chinese Doctors,2021,197143218.0,0.0,0.0,197143218.0,100.0
12,Raging Fire,2021,188915734.0,325806.0,0.2,188589928.0,99.8
13,Impasse,2021,181325565.0,152972.0,0.1,181172593.0,99.9
14,The Suicide Squad,2021,165270343.0,55270343.0,33.4,110000000.0,66.6
15,Space Jam: A New Legacy,2021,156243307.0,70243307.0,45.0,86000000.0,55.0
16,Peter Rabbit 2: The Runaway,2021,153736536.0,40336536.0,26.2,113400000.0,73.8
17,A Writer's Odyssey,2021,150123320.0,160013.0,0.1,149963307.0,99.9
18,Tom and Jerry,2021,132841123.0,46041123.0,34.7,86800000.0,65.3
19,Raya and the Last Dragon,2021,130281158.0,54723032.0,42.0,75558126.0,58.0
20,Sister,2021,128317206.0,0.0,0.0,128317206.0,100.0
21,My Love,2021,114016434.0,86252.0,0.1,113930182.0,99.9
22,The Boss Baby: Family Business,2021,108138805.0,57115805.0,52.8,51023000.0,47.2
23,Wrath of Man,2021,103966489.0,27466489.0,26.4,76500000.0,73.6
24,Detective Conan: The Scarlet Bullet,2021,95659979.0,0.0,0.0,95659979.0,100.0
25,PAW Patrol: The Movie,2021,93426907.0,35186249.0,37.7,58240658.0,62.3
26,Evangelion: 3.0+1.01 Thrice Upon a Time,2021,92246218.0,0.0,0.0,92246218.0,100.0
27,End Game,2021,91815762.0,23149.0,0.1,91792613.0,100.0
28,Old,2021,88641080.0,47792080.0,53.9,40849000.0,46.1
29,Mortal Kombat,2021,83601013.0,42201013.0,50.5,41400000.0,49.5
30,Boonie Bears: The Wild Life,2021,77861141.0,0.0,0.0,77861141.0,100.0
