imdb_code,title,year,worldwide $,domestic $,domestic %,foreign $,foreign %
tt5433138,F9: The Fast Saga,2021,714398815.0,172931815.0,24.2,541467000.0,75.8
tt5034838,Godzilla vs. Kong,2021,467863133.0,100563133.0,21.5,367300000.0,78.5
tt3480822,Black Widow,2021,377665240.0,183177333.0,48.5,194487907.0,51.5
tt8332922,A Quiet Place Part II,2021,297372261.0,160072261.0,53.8,137300000.0,46.2
tt6264654,Free Guy,2021,277748887.0,102882486.0,37.0,174866401.0,63.0
tt9376612,Shang-Chi and the Legend of the Ten Rings,2021,264556500.0,152612024.0,57.7,111944476.0,42.3
tt3228774,Cruella,2021,233274187.0,86102609.0,36.9,147171578.0,63.1
tt0870154,Jungle Cruise,2021,202265854.0,110294536.0,54.5,91971318.0,45.5
tt7069210,The Conjuring: The Devil Made Me Do It,2021,201965074.0,65565074.0,32.5,136400000.0,67.5
tt6334354,The Suicide Squad,2021,165270343.0,55270343.0,33.4,110000000.0,66.6
tt3554046,Space Jam: A New Legacy,2021,156243307.0,70243307.0,45.0,86000000.0,55.0
tt8376234,Peter Rabbit 2: The Runaway,2021,153736536.0,40336536.0,26.2,113400000.0,73.8
tt14833766,Tom and Jerry,2021,132841123.0,46041123.0,34.7,86800000.0,65.3
tt5109280,Raya and the Last Dragon,2021,130281158.0,54723032.0,42.0,75558126.0,58.0
tt6932874,The Boss Baby: Family Business,2021,108138805.0,57115805.0,52.8,51023000.0,47.2
tt11083552,Wrath of Man,2021,103966489.0,27466489.0,26.4,76500000.0,73.6
tt11832046,PAW Patrol: The Movie,2021,93426907.0,35186249.0,37.7,58240658.0,62.3
tt10954652,Old,2021,88641080.0,47792080.0,53.9,40849000.0,46.1
tt0293429,Mortal Kombat,2021,83601013.0,42201013.0,50.5,41400000.0,49.5
tt10327252,The Forever Purge,2021,76958715.0,44503715.0,57.8,32455000.0,42.2
tt8385148,Hitman's Wife's Bodyguard,2021,70331463.0,38014727.0,54.1,32316736.0,45.9
tt9347730,Candyman,2021,62767115.0,49243115.0,78.5,13524000.0,21.5
tt7888964,Nobody,2021,55405035.0,27268035.0,49.2,28137000.0,50.8
tt6246322,Don't Breathe 2,2021,45172368.0,30572368.0,67.7,14600000.0,32.3
tt9844522,Escape Room: Tournament of Champions,2021,44888958.0,25188958.0,56.1,19700000.0,43.9
tt1321510,In the Heights,2021,43879041.0,29879041.0,68.1,14000000.0,31.9
tt11084896,Spirit Untamed,2021,42636215.0,17635215.0,41.4,25001000.0,58.6
tt9278312,Spiral,2021,38824198.0,23216862.0,59.8,15607336.0,40.2
tt14458184,Snake Eyes,2021,36964325.0,28264325.0,76.5,8700000.0,23.5
tt9770150,Nomadland,2021,34811091.0,2143000.0,6.2,32668091.0,93.8
tt9419056,The Unholy,2021,30830440.0,15530440.0,50.4,15300000.0,49.6
tt10016180,The Little Things,2021,29844012.0,15244012.0,51.1,14600000.0,48.9
tt2452150,Respect,2021,27010180.0,23401180.0,86.6,3609000.0,13.4
tt2076822,Chaos Walking,2021,26456630.0,13287908.0,50.2,13168722.0,49.8
tt14876882,The Courier,2021,23552968.0,6613432.0,28.1,16939536.0,71.9
tt3215824,Those Who Wish Me Dead,2021,23408489.0,7347103.0,31.4,16061386.0,68.6
tt6902332,The Marksman,2021,22988549.0,15566093.0,67.7,7422456.0,32.3
tt3272066,Reminiscence,2021,18695360.0,3878349.0,20.7,14817011.0,79.3
tt9243804,The Green Knight,2021,18274261.0,17173321.0,94.0,1100940.0,6.0
tt10696896,Stillwater,2021,16539740.0,14459600.0,87.4,2080140.0,12.6
tt14826818,Minari,2021,15383002.0,3110580.0,20.2,12272422.0,79.8
tt3811906,Malignant,2021,14734620.0,5434620.0,36.9,9300000.0,63.1
tt9731534,The Night House,2021,10842085.0,6809452.0,62.8,4032633.0,37.2
No_code,Demon Slayer: Mugen Train,2020,452974619.0,47700000.0,10.5,405274619.0,89.5
tt1502397,Bad Boys for Life,2020,426505244.0,206305244.0,48.4,220200000.0,51.6
tt6723592,Tenet,2020,363656624.0,58456624.0,16.1,305200000.0,83.9
tt3794354,Sonic the Hedgehog,2020,319715683.0,148974665.0,46.6,170741018.0,53.4
tt6673612,Dolittle,2020,245461797.0,77047065.0,31.4,168414732.0,68.6
tt2850386,The Croods: A New Age,2020,215905815.0,58568815.0,27.1,157337000.0,72.9
tt7713068,Birds of Prey,2020,201858461.0,84158461.0,41.7,117700000.0,58.3
tt7126948,Wonder Woman 1984,2020,166534027.0,46534027.0,27.9,120000000.0,72.1
tt1051906,The Invisible Man,2020,143151000.0,70410000.0,49.2,72741000.0,50.8
tt7146812,Onward,2020,141934191.0,61555145.0,43.4,80379046.0,56.6
tt7504726,The Call of the Wild,2020,111105497.0,62342368.0,56.1,48763129.0,43.9
tt4682266,The New Mutants,2020,49169594.0,23852659.0,48.5,25316935.0,51.5
tt0983946,Fantasy Island,2020,48811343.0,27309289.0,55.9,21502054.0,44.1
tt10362466,After We Collided,2020,47990414.0,2386483.0,5.0,45603931.0,95.0
tt10059518,Unhinged,2020,44331465.0,20831465.0,47.0,23500000.0,53.0
tt6475714,Monster Hunter,2020,42145959.0,15162470.0,36.0,26983489.0,64.0
tt5774060,Underwater,2020,40882928.0,17291078.0,42.3,23591850.0,57.7
tt4532038,The War with Grandpa,2020,40743350.0,21277892.0,52.2,19465458.0,47.8
tt1634106,Bloodshot,2020,33542457.0,12561824.0,37.5,20980633.0,62.5
tt1838556,Honest Thief,2020,31354158.0,14163574.0,45.2,17190584.0,54.8
tt7545266,Like a Boss,2020,30399490.0,22169514.0,72.9,8229976.0,27.1
tt9214832,Emma.,2020,26400964.0,10055355.0,38.1,16345609.0,61.9
tt10272386,The Father,2020,22577412.0,2122771.0,9.4,20454641.0,90.6
tt9086228,Gretel & Hansel,2020,22051055.0,15347654.0,69.6,6703401.0,30.4
tt7798646,The Photograph,2020,20690779.0,20578185.0,99.5,112594.0,0.5
tt9173418,Brahms: The Boy II,2020,20311536.0,12611536.0,62.1,7700000.0,37.9
tt7510346,The Turning,2020,19428853.0,15472775.0,79.6,3956078.0,20.4
tt9620292,Promising Young Woman,2020,17121281.0,6460965.0,37.7,10660316.0,62.3
tt9779516,I Still Believe,2020,16060123.0,9868521.0,61.4,6191602.0,38.6
tt10919380,Freaky,2020,15920855.0,9030855.0,56.7,6890000.0,43.3
tt8544498,The Way Back,2020,14690514.0,13590514.0,92.5,1100000.0,7.5
tt6439020,The Personal History of David Copperfield,2020,14399270.0,1876298.0,13.0,12522972.0,87.0
tt8004664,Come Play,2020,13175457.0,10475990.0,79.5,2699467.0,20.5
tt6878306,News of the World,2020,12668325.0,12668325.0,100.0,0.0,0.0
tt9340860,Let Him Go,2020,11630934.0,9358025.0,80.5,2272909.0,19.5
tt8244784,The Hunt,2020,11473631.0,5812500.0,50.7,5661131.0,49.3
tt4154796,Avengers: Endgame,2019,2797501328.0,858373000.0,30.7,1939128328.0,69.3
tt6105098,The Lion King,2019,1656943394.0,543638043.0,32.8,1113305351.0,67.2
tt4520988,Frozen II,2019,1450026933.0,477373578.0,32.9,972653355.0,67.1
tt6320628,Spider-Man: Far from Home,2019,1131927996.0,390532085.0,34.5,741395911.0,65.5
tt4154664,Captain Marvel,2019,1128274794.0,426829839.0,37.8,701444955.0,62.2
tt7286456,Joker,2019,1074251311.0,335451311.0,31.2,738800000.0,68.8
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,2019,1074144248.0,515202542.0,48.0,558941706.0,52.0
tt1979376,Toy Story 4,2019,1073394593.0,434038008.0,40.4,639356585.0,59.6
tt6139732,Aladdin,2019,1050693953.0,355559216.0,33.8,695134737.0,66.2
tt7975244,Jumanji: The Next Level,2019,800059707.0,320314960.0,40.0,479744747.0,60.0
tt11638654,Fast & Furious Presents: Hobbs & Shaw,2019,759056935.0,173956935.0,22.9,585100000.0,77.1
tt2386490,How to Train Your Dragon: The Hidden World,2019,521799505.0,160799505.0,30.8,361000000.0,69.2
tt4777008,Maleficent: Mistress of Evil,2019,491730089.0,113929605.0,23.2,377800484.0,76.8
tt7349950,It Chapter Two,2019,473093228.0,211593228.0,44.7,261500000.0,55.3
tt5884052,Pokémon Detective Pikachu,2019,433005346.0,144105346.0,33.3,288900000.0,66.7
tt5113040,The Secret Life of Pets 2,2019,430051293.0,158874395.0,36.9,271176898.0,63.1
tt0437086,Alita: Battle Angel,2019,404980543.0,85838210.0,21.2,319142333.0,78.8
tt3741700,Godzilla: King of the Monsters,2019,386600138.0,110500138.0,28.6,276100000.0,71.4
tt8579674,1917,2019,384983987.0,159227644.0,41.4,225756343.0,58.6
tt7131622,Once Upon a Time... In Hollywood,2019,374375059.0,142502728.0,38.1,231872331.0,61.9
tt0448115,Shazam!,2019,365971656.0,140371656.0,38.4,225600000.0,61.6
tt3861390,Dumbo,2019,353284621.0,114766307.0,32.5,238518314.0,67.5
tt6146586,John Wick: Chapter 3 - Parabellum,2019,326709727.0,171015687.0,52.3,155694040.0,47.7
tt8946378,Knives Out,2019,311605581.0,165363234.0,53.1,146242347.0,46.9
tt6450804,Terminator: Dark Fate,2019,261119292.0,62253077.0,23.8,198866215.0,76.2
tt9476136,Parasite,2019,258633992.0,53369749.0,20.6,205264243.0,79.4
tt6857112,Us,2019,255184580.0,175084580.0,68.6,80100000.0,31.4
tt2283336,Men in Black: International,2019,253890701.0,80001807.0,31.5,173888894.0,68.5
tt10440726,X-Men: Dark Phoenix,2019,252442974.0,65845974.0,26.1,186597000.0,73.9
tt6823368,Glass,2019,246999039.0,111048468.0,45.0,135950571.0,55.0
tt8350360,Annabelle Comes Home,2019,231252591.0,74152591.0,32.1,157100000.0,67.9
