imdb_code,title,return_pct,Adult,Talk-Show,News,Sport,Music,War,Biography,History,Musical,Mystery,Romance,Horror,Short,Documentary,Western,Crime,Family,Comedy,Animation,N/A,Thriller,Sci-Fi,Fantasy,Drama,Adventure,Action,Genre_List
tt4154796,Avengers: Endgame,599.4501409999998,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,"['Action', 'Adventure', 'Drama']"
tt1298650,Pirates of the Caribbean: On Stranger Tides,175.9139319261214,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,"['Action', 'Adventure', 'Fantasy']"
tt2395427,Avengers: Age of Ultron,282.27862438356163,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt2488496,Star Wars Ep. VII: The Force Awakens,574.7110513071897,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt4154756,Avengers: Infinity War,581.5135076666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt0449088,Pirates of the Caribbean: At World’s End,220.332164,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,"['Action', 'Adventure', 'Fantasy']"
tt0974015,Justice League,118.648403,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,"['Action', 'Adventure', 'Fantasy']"
tt2379713,Spectre,193.16692,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,"['Action', 'Adventure', 'Thriller']"
tt11464830,Star Wars: The Rise of Skywalker,290.12672254545464,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,['N/A']
tt3778644,Solo: A Star Wars Story,42.96412618181819,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt0401729,John Carter,7.234774364808495,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt2975590,Batman v Superman: Dawn of Justice,231.7091600760456,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt6105098,The Lion King,536.2951634615384,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,"['Adventure', 'Animation', 'Drama']"
tt0398286,Tangled,124.96146884615385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt0413300,Spider-Man 3,246.8450503875969,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt3498820,Captain America: Civil War,360.7674084,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt0417741,Harry Potter and the Half-Blood Prince,272.2692668,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Family']"
tt1170358,The Hobbit: The Desolation of Smaug,283.7433744,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,"['Adventure', 'Fantasy']"
tt2310332,The Hobbit: The Battle of the Five Armies,276.62429280000003,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,"['Adventure', 'Fantasy']"
tt4630562,The Fate of the Furious,394.6815184,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Crime']"
tt0499549,Avatar,1100.801494092827,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,"['Action', 'Adventure', 'Fantasy']"
tt1345836,The Dark Knight Rises,370.5339595652173,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,"['Action', 'Adventure']"
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,245.59208434782607,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,"['Action', 'Adventure', 'Fantasy']"
tt0830515,Quantum of Solace,157.25742521739133,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,"['Action', 'Adventure', 'Thriller']"
tt0848228,The Avengers,573.3778715555555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt0770828,Man of Steel,196.88867466666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt0499448,The Chronicles of Narnia: Prince Caspian,85.48501688888891,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Family']"
tt1210819,The Lone Ranger,15.556495555555555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Western']"
tt0948470,The Amazing Spider-Man,244.49557590909092,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,"['Action', 'Adventure', 'Fantasy']"
tt1440129,Battleship,42.48987136363636,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt3371366,Transformers: The Last Knight,177.83103225806454,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt0369610,Jurassic World,676.7348683720929,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt1409024,Men in Black 3,204.28534186046508,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Comedy']"
tt1055369,Transformers: Revenge of the Fallen,298.3427138095238,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt2109248,Transformers: Age of Extinction,425.74003428571433,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt4532826,Robin Hood,53.55190761904761,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,"['Action', 'Adventure', 'Drama']"
tt0385752,The Golden Compass,79.15246731707316,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,"['Adventure', 'Family', 'Fantasy']"
tt6723592,Tenet,76.52480585365853,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,"['Action', 'Sci-Fi', 'Thriller']"
tt1825683,Black Panther,568.2471605000002,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt2527336,Star Wars Ep. VIII: The Last Jedi,565.8175705,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,"['Action', 'Adventure', 'Fantasy']"
tt3606756,Incredibles 2,521.4026795,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Animation']"
tt6323140,Rogue One: A Star Wars Story,427.56779900000004,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,"['Documentary', 'Sci-Fi']"
tt2277860,Finding Dory,412.5030625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt1979376,Toy Story 4,436.54016449999995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt0435761,Toy Story 3,434.43976100000003,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt3107386,Iron Man 3,507.696136,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,"['Action', 'Short']"
tt3896198,Guardians of the Galaxy Vol 2,334.5565505,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Comedy']"
tt1014759,Alice in Wonderland,412.745555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,"['Adventure', 'Family', 'Fantasy']"
tt1074638,Skyfall,455.26349050000016,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,"['Action', 'Adventure', 'Thriller']"
tt0903624,The Hobbit: An Unexpected Journey,407.4692725,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,"['Adventure', 'Fantasy']"
tt1453405,Monsters University,271.727905,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt1623205,Oz the Great and Powerful,145.17952549999995,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,"['Adventure', 'Family', 'Fantasy']"
tt1877832,X-Men: Days of Future Past,273.9313875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt1872181,The Amazing Spider-Man 2,254.49816800000002,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,"['Action', 'Adventure', 'Fantasy']"
tt1216475,Cars 2,180.07769150000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt3480822,Black Widow,85.16722850000002,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt11638654,Fast & Furious Presents: Hobbs & Shaw,280.190853,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,"['Crime', 'Short']"
tt8647300,Tron: Legacy,99.9330995,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'Short']"
tt1190080,2012,278.83887400000003,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt4123430,Fantastic Beasts: The Crimes of Grindelwald,225.6402375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,"['Adventure', 'Family', 'Fantasy']"
tt0438488,Terminator Salvation,82.745896,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,"['Action', 'Sci-Fi']"
tt1133985,Green Lantern,9.767746,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt0473075,Prince of Persia: Sands of Time,68.179838,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,"['Action', 'Adventure', 'Fantasy']"
tt6565702,Dark Phoenix,23.1784475,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt1399103,Transformers: Dark of the Moon,476.3046558974359,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt2345759,The Mummy,110.2327717948718,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,"['Action', 'Adventure', 'Fantasy']"
tt1351685,Jack the Giant Slayer,1.3782579487179487,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,"['Adventure', 'Comedy', 'Family']"
tt2820852,Furious 7,698.3586978947368,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,"['Action', 'Adventure', 'Thriller']"
tt1408101,Star Trek Into Darkness,145.99030736842104,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt0816711,World War Z,179.92718421052632,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Horror']"
tt1343092,The Great Gatsby,86.12653631578947,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,"['Drama', 'Romance']"
tt1663662,Pacific Rim,116.3173189473684,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt1979388,The Good Dinosaur,78.01121973333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt0371746,Iron Man,214.60835860215056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,"['Action', 'Adventure', 'Sci-Fi']"
tt0468569,The Dark Knight,440.0250167567568,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,"['Action', 'Crime', 'Drama']"
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,325.2083313513514,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,"['Action', 'Adventure']"
tt1217209,Brave,199.78731459459462,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
