title,year,worldwide $,domestic $,domestic %,foreign $,foreign %
"Hi, Mom",2021,822009764.0,0.0,0.0,822009764.0,100.0
Detective Chinatown 3,2021,686257563.0,0.0,0.0,686257563.0,100.0
Chinese Doctors,2021,197143218.0,0.0,0.0,197143218.0,100.0
Raging Fire,2021,188915734.0,325806.0,0.2,188589928.0,99.8
Impasse,2021,181325565.0,152972.0,0.1,181172593.0,99.9
A Writer's Odyssey,2021,150123320.0,160013.0,0.1,149963307.0,99.9
Sister,2021,128317206.0,0.0,0.0,128317206.0,100.0
My Love,2021,114016434.0,86252.0,0.1,113930182.0,99.9
Detective Conan: The Scarlet Bullet,2021,95659979.0,0.0,0.0,95659979.0,100.0
Evangelion: 3.0+1.01 Thrice Upon a Time,2021,92246218.0,0.0,0.0,92246218.0,100.0
End Game,2021,91815762.0,23149.0,0.1,91792613.0,100.0
Boonie Bears: The Wild Life,2021,77861141.0,0.0,0.0,77861141.0,100.0
1921,2021,75159828.0,0.0,0.0,75159828.0,100.0
Avatar 2021 Re-release,2021,57566409.0,0.0,0.0,57566409.0,100.0
Nezha Reborn,2021,56088478.0,0.0,0.0,56088478.0,100.0
Upcoming,2021,54300000.0,0.0,0.0,54300000.0,100.0
Belle: The Dragon and the Freckled Princess,2021,54195448.0,0.0,0.0,54195448.0,100.0
Man in Love,2021,52946097.0,0.0,0.0,52946097.0,100.0
Break Through the Darkness,2021,52700000.0,0.0,0.0,52700000.0,100.0
Luca,2021,47470926.0,0.0,0.0,47470926.0,100.0
Love Will Tear Us Apart,2021,44972521.0,0.0,0.0,44972521.0,100.0
Tokyo Revengers,2021,38395933.0,0.0,0.0,38395933.0,100.0
The Yinyang Master,2021,37690000.0,0.0,0.0,37690000.0,100.0
Rurouni Kenshin: Final Chapter Part I - The Final,2021,36964978.0,0.0,0.0,36964978.0,100.0
I Fell in Love Like a Flower Bouquet,2021,34975905.0,0.0,0.0,34975905.0,100.0
Big Red Envelope,2021,32800000.0,0.0,0.0,32800000.0,100.0
Once Upon a Time in Hong Kong,2021,32218874.0,0.0,0.0,32218874.0,100.0
Home Sweet Home,2021,32178677.0,0.0,0.0,32178677.0,100.0
Master,2021,28692230.0,0.0,0.0,28692230.0,100.0
The Last Warrior: Root of Evil,2021,28357398.0,0.0,0.0,28357398.0,100.0
Escape from Mogadishu,2021,27935527.0,297482.0,1.1,27638045.0,98.9
My Hero Academia: World Heroes' Mission,2021,26421054.0,0.0,0.0,26421054.0,100.0
The Day We Lit Up the Sky,2021,22500000.0,0.0,0.0,22500000.0,100.0
Kaamelott: First Installment,2021,21662036.0,188000.0,0.9,21474036.0,99.1
