,year,rank,title,worldwide $,domestic $,domestic %,foreign $,foreign %
0,2021,1,"Hi, Mom",822009764.0,0.0,0.0,822009764.0,100.0
1,2021,2,F9: The Fast Saga,714398815.0,172931815.0,24.2,541467000.0,75.8
2,2021,3,Detective Chinatown 3,686257563.0,0.0,0.0,686257563.0,100.0
3,2021,4,Godzilla vs. Kong,467863133.0,100563133.0,21.5,367300000.0,78.5
4,2021,5,Black Widow,377665240.0,183177333.0,48.5,194487907.0,51.5
5,2021,6,A Quiet Place Part II,297372261.0,160072261.0,53.8,137300000.0,46.2
6,2021,7,Free Guy,277748887.0,102882486.0,37.0,174866401.0,63.0
7,2021,8,Shang-Chi and the Legend of the Ten Rings,264556500.0,152612024.0,57.7,111944476.0,42.3
8,2021,9,Cruella,233274187.0,86102609.0,36.9,147171578.0,63.1
9,2021,10,Jungle Cruise,202265854.0,110294536.0,54.5,91971318.0,45.5
10,2021,11,The Conjuring: The Devil Made Me Do It,201965074.0,65565074.0,32.5,136400000.0,67.5
11,2021,12,Chinese Doctors,197143218.0,0.0,0.0,197143218.0,100.0
12,2021,13,Raging Fire,188915734.0,325806.0,0.2,188589928.0,99.8
13,2021,14,Impasse,181325565.0,152972.0,0.1,181172593.0,99.9
14,2021,15,The Suicide Squad,165270343.0,55270343.0,33.4,110000000.0,66.6
15,2021,16,Space Jam: A New Legacy,156243307.0,70243307.0,45.0,86000000.0,55.0
16,2021,17,Peter Rabbit 2: The Runaway,153736536.0,40336536.0,26.2,113400000.0,73.8
17,2021,18,A Writer's Odyssey,150123320.0,160013.0,0.1,149963307.0,99.9
18,2021,19,Tom and Jerry,132841123.0,46041123.0,34.7,86800000.0,65.3
19,2021,20,Raya and the Last Dragon,130281158.0,54723032.0,42.0,75558126.0,58.0
20,2021,21,Sister,128317206.0,0.0,0.0,128317206.0,100.0
21,2021,22,My Love,114016434.0,86252.0,0.1,113930182.0,99.9
22,2021,23,The Boss Baby: Family Business,108138805.0,57115805.0,52.8,51023000.0,47.2
23,2021,24,Wrath of Man,103966489.0,27466489.0,26.4,76500000.0,73.6
24,2021,25,Detective Conan: The Scarlet Bullet,95659979.0,0.0,0.0,95659979.0,100.0
25,2021,26,PAW Patrol: The Movie,93426907.0,35186249.0,37.7,58240658.0,62.3
26,2021,27,Evangelion: 3.0+1.01 Thrice Upon a Time,92246218.0,0.0,0.0,92246218.0,100.0
27,2021,28,End Game,91815762.0,23149.0,0.1,91792613.0,100.0
28,2021,29,Old,88641080.0,47792080.0,53.9,40849000.0,46.1
29,2021,30,Mortal Kombat,83601013.0,42201013.0,50.5,41400000.0,49.5
30,2021,31,Boonie Bears: The Wild Life,77861141.0,0.0,0.0,77861141.0,100.0
31,2021,32,The Forever Purge,76958715.0,44503715.0,57.8,32455000.0,42.2
32,2021,33,1921,75159828.0,0.0,0.0,75159828.0,100.0
33,2021,34,Hitman's Wife's Bodyguard,70331463.0,38014727.0,54.1,32316736.0,45.9
34,2021,35,Candyman,62767115.0,49243115.0,78.5,13524000.0,21.5
35,2021,36,Avatar 2021 Re-release,57566409.0,0.0,0.0,57566409.0,100.0
36,2021,37,Nezha Reborn,56088478.0,0.0,0.0,56088478.0,100.0
37,2021,38,Nobody,55405035.0,27268035.0,49.2,28137000.0,50.8
38,2021,39,Upcoming,54300000.0,0.0,0.0,54300000.0,100.0
39,2021,40,Belle: The Dragon and the Freckled Princess,54195448.0,0.0,0.0,54195448.0,100.0
40,2021,41,Man in Love,52946097.0,0.0,0.0,52946097.0,100.0
41,2021,42,Break Through the Darkness,52700000.0,0.0,0.0,52700000.0,100.0
42,2021,43,Luca,47470926.0,0.0,0.0,47470926.0,100.0
43,2021,44,Don't Breathe 2,45172368.0,30572368.0,67.7,14600000.0,32.3
44,2021,45,Love Will Tear Us Apart,44972521.0,0.0,0.0,44972521.0,100.0
45,2021,46,Escape Room: Tournament of Champions,44888958.0,25188958.0,56.1,19700000.0,43.9
46,2021,47,In the Heights,43879041.0,29879041.0,68.1,14000000.0,31.9
47,2021,48,Spirit Untamed,42636215.0,17635215.0,41.4,25001000.0,58.6
48,2021,49,Spiral,38824198.0,23216862.0,59.8,15607336.0,40.2
49,2021,50,Tokyo Revengers,38395933.0,0.0,0.0,38395933.0,100.0
50,2021,51,The Yinyang Master,37690000.0,0.0,0.0,37690000.0,100.0
51,2021,52,Rurouni Kenshin: Final Chapter Part I - The Final,36964978.0,0.0,0.0,36964978.0,100.0
